country,region,loc,pop,lat,lon,lon_albers,lat_albers
US,Alaska,Unalaska,4251,53.8733,-166.533,-820794.6509,506476.152
US,Alaska,Russian Mission,295,61.7856,-161.325,-384382.2722,1333217.73
US,Alaska,Ouzinkie,246,57.9236,-152.496,88856.24075,881195.3232
US,Alaska,Chefornak,405,60.1607,-164.271,-565914.0262,1174112.399
US,Alaska,Grayling,186,62.9062,-160.077,-307645.9649,1451371.141
US,Alaska,Mountain Village,738,62.0884,-163.72,-504335.866,1382832.536
US,Alaska,Manokotak,387,58.9796,-159.053,-289293.0088,1009207.282
US,Alaska,Port Heiden,116,56.9566,-158.645,-281766.7612,782075.4141
US,Alaska,Savoonga,622,63.6904,-170.481,-805440.9861,1625362.992
US,Alaska,Shaktoolik,226,64.35,-161.183,-346027.3641,1617279.098
US,Alaska,Diomede,174,65.7648,-168.911,-678566.0608,1832765.213
US,Alaska,False Pass,64,54.8548,-163.407,-602262.242,580677.3233
US,Alaska,King Cove,691,55.0629,-162.31,-529529.4016,594289.4397
US,Alaska,Akutan,420,54.1385,-165.778,-766685.2395,526436.8465
US,Alaska,Saint George,153,56.603,-169.545,-944292.4319,843786.2688
US,Alaska,Saint Paul,764,57.1221,-170.276,-973770.5186,910616.1046
US,Alaska,Atka,111,52.191,-174.189,-1365554.573,451317.0876
US,Alaska,Chuathbaluk,115,61.5726,-159.235,-276856.9481,1299094.563
US,Alaska,Coffman Cove,246,55.9476,-132.734,1304533.863,870345.5042
US,Alaska,Thorne Bay,625,55.7274,-132.471,1327919.143,852278.6258
US,Alaska,Anchorage,254849,61.1817,-149.993,214642.6018,1250934.926
US,Alaska,Kachemak,398,59.6488,-151.451,143170.4906,1075764.754
US,Alaska,Cape Yakataga,0,60.0652,-142.428,638765.5111,1175375.774
US,Alaska,Ivanof Bay,27,55.8996,-159.507,-343710.4432,668583.481
US,Alaska,Perryville,107,55.9119,-159.166,-322365.2318,668240.0178
US,Alaska,Northway Junction,114,63.0173,-141.792,613143.3174,1506217.004
US,Alaska,Tetlin,68,63.3105,-142.592,567773.2538,1531351.827
US,Alaska,Georgetown,0,61.9085,-157.787,-198236.035,1331395.383
US,Alaska,Attu,26,52.9365,173.24,-2121046.273,858802.2454
US,Alaska,Tuntutuliak,351,60.3397,-162.669,-475589.3383,1181367.735
US,Alaska,Chignik Lagoon,74,56.3536,-158.522,-278894.4333,714442.2892
US,Alaska,Chignik Lake,127,56.2635,-158.747,-293465.9049,705388.3008
US,Alaska,Belkofski,0,55.0905,-162.034,-511658.6341,595175.5278
US,Alaska,Hollis,175,55.4879,-132.663,1324915.584,823136.4133
US,Alaska,Boundary,0,64.0649,-141.091,625314.7557,1627690.525
US,Alaska,Sanak,0,54.4831,-162.814,-570000.2988,534473.6574
US,Alaska,Pauloff Harbor,0,54.4589,-162.7,-563022.0459,530832.7268
US,Alaska,Birch Creek,37,66.2687,-145.824,367385.2184,1834979.602
US,Alaska,McKinley Park,196,63.7185,-148.913,250692.3159,1537649.424
US,Alaska,Paimiut,0,61.6971,-165.83,-620514.3917,1357514.362
US,Alaska,Kokhanok,168,59.4426,-154.761,-43015.4884,1050206.492
US,Alaska,Pedro Bay,37,59.7914,-154.098,-5480.935487,1088967.137
US,Alaska,Kaguyak,0,56.8594,-153.767,14184.69564,761395.1703
US,Alaska,Ayakulik,0,57.2113,-154.546,-32912.30914,800781.8791
US,Alaska,Womens Bay,662,57.7099,-152.586,84048.12702,857214.6387
US,Alaska,Uganik,0,57.6835,-153.419,34563.31941,853522.5927
US,Alaska,Kongiganak,349,59.9647,-162.877,-492522.4704,1141309.666
US,Alaska,Minto,244,65.1562,-149.328,218999.5932,1696173.757
US,Alaska,Healy Lake,60,63.9441,-144.755,451080.0837,1584684.626
US,Alaska,Dot Lake,80,63.663,-144.049,489964.2523,1558621.386
US,Alaska,Slana,58,62.708,-143.961,510334.1052,1453777.439
US,Alaska,Mentasta Lake,122,62.9212,-143.792,515209.4834,1478636.36
US,Alaska,Portage Creek,14,58.9006,-157.714,-213220.5972,995328.9361
US,Alaska,Ekuk,2,58.804,-158.541,-261369.3991,987506.7176
US,Alaska,Port Protection,58,56.3127,-133.602,1240702.727,892433.6841
US,Alaska,Cape Lisburne,0,68.8678,-166.193,-493618.6791,2145731.999
US,Alaska,Nikolaevsk,474,59.8109,-151.623,132865.4064,1093521.749
US,Alaska,Nanwalek,177,59.354,-151.916,118096.6722,1041906.676
US,Alaska,Portlock,0,59.2093,-151.74,128616.9278,1026064.06
US,Alaska,Petersville,0,62.4951,-150.771,165866.1864,1395364.653
US,Alaska,Skwentna,77,61.9649,-151.158,148536.1911,1335227.444
US,Alaska,Fort Glenn,0,53.3956,-167.881,-918860.7255,472114.1525
US,Alaska,Kenny Lake,500,61.7379,-144.945,475383.4499,1339122.401
US,Alaska,Shemya Station,0,52.7246,174.112,-2079919.061,810448.1206
US,Alaska,Deadhorse,24,70.2097,-148.418,214603.6879,2256844.848
US,Alaska,Paxson,34,63.0373,-145.484,428668.7592,1479459.651
US,Alaska,Chiniak,74,57.6188,-152.166,109287.8605,847654.8926
US,Alaska,Salamatof,1134,60.5878,-151.326,145960.4268,1180970.441
US,Alaska,Nikiski,3023,60.6394,-151.334,145292.3651,1186719.521
US,Alaska,Uyak,0,57.6256,-153.988,716.2632068,846905.2328
US,Alaska,Big Lake,2243,61.5378,-149.824,221180.9293,1291241.237
US,Alaska,Prudhoe Bay,47,70.2366,-148.38,215812.0284,2259904.73
US,Alaska,Bill Moores,0,62.9802,-164.157,-511648.5907,1484758.789
US,Alaska,Oscarville,59,60.7273,-161.79,-422526.9651,1218443.89
US,Alaska,Atmautluak,247,60.8607,-162.476,-457642.3465,1237798.771
US,Alaska,Tazlina,297,62.0305,-145.416,446580.2993,1368286.058
US,Alaska,Chenega Bay,91,60.0746,-148.003,332164.6949,1135641.651
US,Alaska,Nelson Lagoon,90,56.0012,-161.201,-447847.7633,689954.0559
US,Alaska,Port Moller,0,55.99,-160.577,-409296.0305,684685.2964
US,Alaska,Eyak,166,60.5652,-145.7,452312.033,1203805.41
US,Alaska,Alatna,31,66.5968,-152.76,55176.71511,1849325.023
US,Alaska,King Island,0,64.9694,-168.065,-659290.7094,1737719.613
US,Alaska,Poorman,0,64.0991,-155.544,-75167.84772,1571416.074
US,Alaska,Iditarod,0,62.5448,-158.094,-209903.7812,1403359.798
US,Alaska,Karluk,48,57.5719,-154.455,-27150.97165,841001.2989
US,Alaska,Lower Kalskag,278,61.5122,-160.358,-336728.1745,1297552.901
US,Alaska,Upper Kalskag,198,61.5372,-160.305,-333664.6373,1300068.689
US,Alaska,Chalkyitsik,87,66.6544,-143.722,454551.2207,1890454.197
US,Alaska,Cantwell,144,63.3917,-148.951,251595.96,1501106.773
US,Alaska,Seward,2999,60.1043,-149.442,252378.1899,1132619.746
US,Alaska,Moose Pass,116,60.4876,-149.367,253536.0416,1175671.81
US,Alaska,Cooper Landing,271,60.4906,-149.833,228049.1178,1174316.995
US,Alaska,Palmer,3946,61.5997,-149.113,258266.669,1300714.541
US,Alaska,Wasilla,4917,61.5814,-149.439,241206.9188,1297447.165
US,Alaska,Houston,994,61.6302,-149.818,220847.9889,1301574.6
US,Alaska,Knik,443,61.4578,-149.729,226780.708,1282632.493
US,Alaska,Sutton,431,61.7114,-148.894,268858.4284,1314040.45
US,Alaska,Chickaloon,205,61.7967,-148.463,290707.822,1325365.01
US,Alaska,Susitna,0,61.5436,-150.512,184744.1314,1289786.192
US,Alaska,Willow,408,61.7472,-150.037,208516.6028,1313926.793
US,Alaska,Eklutna,425,61.458,-149.362,246235.4994,1283961.796
US,Alaska,Glennallen,513,62.1092,-145.546,438736.7227,1376147.529
US,Alaska,Copper Center,536,61.955,-145.305,453424.43,1360666.823
US,Alaska,Tonsina,46,61.6558,-145.175,464597.1878,1328396.103
US,Alaska,Chitina,84,61.5158,-144.437,505437.9061,1318278.183
US,Alaska,Lower Tonsina,0,61.655,-144.659,491600.3943,1332022.206
US,Alaska,Gulkana,95,62.2714,-145.382,444853.5188,1395225.271
US,Alaska,Gakona,23,62.3019,-145.302,448514.1422,1399144.608
US,Alaska,Chistochina,55,62.565,-144.665,477030.8593,1432727.929
US,Alaska,Nabesna,0,62.3719,-143.009,564495.9279,1424376.393
US,Alaska,McCarthy,28,61.4333,-142.922,586350.1316,1321615.61
US,Alaska,Yakutat,833,59.5469,-139.727,798138.5576,1147721.51
US,Alaska,Skagway,816,59.4583,-135.314,1041910.163,1199270.616
US,Alaska,Haines,1429,59.2358,-135.445,1041658.078,1173309.76
US,Alaska,Klukwan,160,59.3991,-135.894,1012171.081,1183933.904
US,Alaska,Juneau,29813,58.3019,-134.42,1127900.78,1089938.241
US,Alaska,Pelican,187,57.9608,-136.227,1036515.268,1023874.953
US,Alaska,Tenakee Springs,98,57.7808,-135.219,1099380.124,1020734.762
US,Alaska,Hoonah,906,58.11,-135.444,1076414.159,1052379.667
US,Alaska,Elfin Cove,54,58.1944,-136.343,1023053.669,1047250.886
US,Alaska,Angoon,616,57.5033,-134.584,1144435.855,1001743.823
US,Alaska,Kake,767,56.9758,-133.947,1198365.632,956672.3776
US,Alaska,Wrangell,2543,56.4708,-132.377,1306999.477,932690.2028
US,Alaska,Point Baker,57,56.3528,-133.621,1238232.697,896342.0833
US,Alaska,Petersburg,3432,56.8125,-132.955,1261377.543,957685.046
US,Alaska,Kupreanof,24,56.8153,-133.006,1258326.259,957014.4714
US,Alaska,Port Alexander,94,56.2497,-134.644,1181197.729,866719.877
US,Alaska,Edna Bay,70,55.9489,-133.662,1249396.942,852639.3192
US,Alaska,Craig,2043,55.4764,-133.148,1296203.704,812348.3287
US,Alaska,Klawock,704,55.5522,-133.096,1296714.411,821394.1462
US,Alaska,Kasaan,42,55.5389,-132.401,1338794.904,833778.1682
US,Alaska,Hydaburg,398,55.208,-132.827,1324852.533,790272.5446
US,Alaska,Meyers Chuck,28,55.7408,-132.256,1340225.381,858012.3012
US,Alaska,Ketchikan,8552,55.3422,-131.646,1391080.453,828572.9357
US,Alaska,Saxman,381,55.3183,-131.596,1394954.197,827109.5177
US,Alaska,Metlakatla,1528,55.1292,-131.572,1403368.555,807745.2005
US,Alaska,Hyder,151,55.9169,-130.025,1465073.479,923615.2298
US,Alaska,Sitka,8733,57.053,-135.33,1115600.431,940830.6704
US,Alaska,Cordova,2467,60.5428,-145.757,449531.9944,1200932.445
US,Alaska,Valdez,4184,61.1308,-146.348,409889.2652,1262404.828
US,Alaska,Tatitlek,99,60.8647,-146.679,395506.7063,1230823.989
US,Alaska,Seldovia,414,59.438,-151.711,129385.4963,1051675.664
US,Alaska,Port Graham,186,59.3514,-151.83,122977.8893,1041772.213
US,Alaska,Anchor Point,866,59.7766,-151.831,121368.6776,1089290.167
US,Alaska,Homer,4126,59.6425,-151.548,137750.8373,1074855.619
US,Alaska,Ninilchik,655,60.0514,-151.669,129351.4339,1120309.759
US,Alaska,Clam Gulch,100,60.2311,-151.394,143815.6908,1140958.877
US,Alaska,Kasilof,539,60.3375,-151.274,149946.0356,1153114.664
US,Alaska,Kenai,6971,60.5544,-151.258,149824.2912,1177389.312
US,Alaska,Soldotna,4092,60.4878,-151.058,161075.2762,1170415.343
US,Alaska,Whittier,289,60.773,-148.684,288285.142,1210289.933
US,Alaska,Hope,152,60.9203,-149.64,235443.6079,1222952.192
US,Alaska,Tyonek,151,61.0681,-151.137,153955.5525,1235070.884
US,Alaska,Talkeetna,347,62.3239,-150.109,200956.5225,1378079.609
US,Alaska,Healy,603,63.8578,-148.966,246907.3857,1552962.471
US,Alaska,Tanacross,85,63.3853,-143.346,529246.0281,1533366.557
US,Alaska,Northway,119,62.9616,-141.937,607066.0299,1498763.497
US,Alaska,Tok,1216,63.3366,-142.985,547915.2642,1530925.375
US,Alaska,Chicken,17,64.0733,-141.936,584680.7299,1620913.858
US,Alaska,Delta Junction,855,64.0377,-145.732,402374.1426,1588766.993
US,Alaska,Big Delta,508,64.1525,-145.842,395477.6059,1600824.422
US,Alaska,Eagle,165,64.788,-141.2,604644.6419,1705864.21
US,Alaska,Eagle Village,34,64.7805,-141.114,608817.4422,1705829.012
US,Alaska,Central,57,65.5724,-144.803,423683.8249,1764224.756
US,Alaska,Circle Hot Springs,32,65.4833,-144.634,432813.0479,1755486.733
US,Alaska,Chena Hot Springs,0,65.053,-146.056,373165.4669,1699308.683
US,Alaska,Fairbanks,31850,64.8378,-147.716,297718.9502,1667063.948
US,Alaska,Fox,321,64.958,-147.618,301061.6273,1680848.498
US,Alaska,Ester,236,64.8472,-148.014,283545.4236,1666803.657
US,Alaska,North Pole,1631,64.7511,-147.349,316016.5729,1659135.926
US,Alaska,Livengood,0,65.5244,-148.545,252259.6354,1739860.451
US,Alaska,Lake Minchumina,45,63.8828,-152.312,82793.22303,1547444.102
US,Alaska,Anderson,565,64.3441,-149.187,232156.2252,1606305.354
US,Alaska,Nenana,356,64.5638,-149.093,234872.39,1631085.609
US,Alaska,Tanana,299,65.1719,-152.079,90058.5716,1691519.873
US,Alaska,Manley Hot Springs,90,65.0011,-150.634,158719.8876,1675200.268
US,Alaska,Rampart,54,65.5049,-150.17,177340.1599,1732437.365
US,Alaska,Circle,83,65.8255,-144.061,453417.9245,1797015.514
US,Alaska,Fort Yukon,575,66.5647,-145.274,387650.0198,1870746.795
US,Alaska,Venetie,241,67.0139,-146.419,331339.1177,1914064.964
US,Alaska,Beaver,103,66.3594,-147.396,296007.8744,1837151.763
US,Alaska,Stevens Village,99,66.0063,-149.091,223097.0167,1791395.12
US,Alaska,Anaktuvuk Pass,301,68.1433,-151.736,94883.1039,2021892.194
US,Alaska,Bettles,32,66.9069,-151.683,101882.8812,1885031.905
US,Alaska,Allakaket,182,66.5656,-152.646,60319.30927,1845957.704
US,Alaska,Evansville,43,66.9227,-151.508,109508.5746,1887063.5
US,Alaska,Wiseman,24,67.41,-150.107,167848.2326,1943994.21
US,Alaska,Kobuk,89,66.9072,-156.881,-126664.7793,1886035.678
US,Alaska,Shungnak,252,66.888,-157.136,-137968.7409,1884414.106
US,Alaska,Ambler,333,67.0861,-157.851,-168119.1268,1908021.771
US,Alaska,Kotzebue,2885,66.8983,-162.597,-377165.4098,1906746.121
US,Alaska,Kiana,415,66.975,-160.423,-281313.8728,1904429.292
US,Alaska,Noorvik,571,66.8383,-161.033,-309539.4448,1892042.813
US,Alaska,Selawik,696,66.6039,-160.007,-266868.2958,1861676.51
US,Alaska,Noatak,401,67.5711,-162.965,-383170.2106,1982831.379
US,Alaska,Shishmaref,542,66.2567,-166.072,-541071.3456,1860314.906
US,Alaska,Kivalina,357,67.7269,-164.533,-446941.2299,2009707.049
US,Alaska,Wainwright,550,70.6369,-160.038,-227841.03,2304937.29
US,Alaska,Point Lay,207,69.7574,-163.051,-354042.4409,2222365.557
US,Alaska,Point Hope,749,68.3477,-166.808,-529219.5193,2094063.254
US,Alaska,Atqasuk,235,70.4694,-157.396,-129202.9425,2279559.587
US,Alaska,Barrow,4380,71.2905,-156.789,-102361.8123,2368017.579
US,Alaska,Nuiqsut,435,70.2175,-150.976,116318.142,2251323.934
US,Alaska,Kaktovik,222,70.1319,-143.624,399085.0698,2270534.064
US,Alaska,Arctic Village,96,68.1269,-145.538,353974.9476,2041042.893
US,Alaska,Huslia,232,65.6986,-156.4,-110382.9847,1750889.564
US,Alaska,Hughes,52,66.0488,-154.255,-11579.94179,1787897.197
US,Alaska,Galena,543,64.7333,-156.927,-139347.2617,1644384.317
US,Alaska,Kaltag,245,64.3272,-158.722,-227905.8495,1604108.913
US,Alaska,Nulato,365,64.7194,-158.103,-195368.9195,1645799.664
US,Alaska,Koyukuk,113,64.8802,-157.701,-175249.1098,1662580.864
US,Alaska,Ruby,189,64.7394,-155.487,-70793.57681,1642785.999
US,Alaska,Nome,3595,64.5011,-165.406,-544951.5951,1662321.704
US,Alaska,Golovin,153,64.5433,-163.029,-431539.5855,1649497.982
US,Alaska,Elim,291,64.6175,-162.26,-393956.9132,1652926.806
US,Alaska,White Mountain,193,64.6813,-163.406,-447266.8809,1667239.716
US,Alaska,Koyuk,272,64.9319,-161.157,-337797.6134,1681681.047
US,Alaska,Buckland,412,65.9797,-161.123,-323703.6024,1797562.226
US,Alaska,Teller,265,65.2636,-166.361,-574336.9027,1754042.585
US,Alaska,Brevig Mission,265,65.3347,-166.489,-578733.1483,1762938.541
US,Alaska,Deering,158,66.0755,-162.717,-394369.6235,1816765.133
US,Alaska,Candle,11,65.9133,-161.924,-360820.5761,1794347.895
US,Alaska,Solomon,0,64.5608,-164.439,-498106.8316,1661298.88
US,Alaska,Council,0,64.895,-163.676,-456555.734,1692665.589
US,Alaska,Marys Igloo,0,65.1478,-165.063,-516759.2009,1730672.803
US,Alaska,Wales,162,65.60969,-168.0876,-644740.3845,1807688.007
US,Alaska,Gambell,653,63.7797,-171.741,-862967.7601,1650835.277
US,Alaska,Saint Mary's,504,62.053,-163.166,-476323.6675,1374823.647
US,Alaska,Pilot Station,547,61.9389,-162.875,-462993.0591,1360124.079
US,Alaska,Scammon Bay,459,61.8428,-165.582,-604812.4351,1371268.029
US,Alaska,Hooper Bay,1012,61.5311,-166.097,-637728.7769,1341779.084
US,Alaska,Sheldon Point,150,62.5336,-164.841,-553920.5747,1440947.723
US,Alaska,Alakanuk,651,62.6889,-164.615,-539709.5229,1456221.797
US,Alaska,Emmonak,798,62.7778,-164.523,-533503.2338,1465290.176
US,Alaska,Stebbins,513,63.5222,-162.288,-410506.0141,1531765.794
US,Alaska,Saint Michael,341,63.478,-162.039,-398830.4414,1525348.146
US,Alaska,Kotlik,543,63.0341,-163.553,-480575.9673,1486204.342
US,Alaska,Hamilton,0,62.9497,-163.779,-493247.8166,1478528.479
US,Alaska,Chuloonawick,0,62.8961,-163.894,-499894.8451,1473463.289
US,Alaska,Pitkas Point,154,62.0328,-163.288,-482937.343,1373467.718
US,Alaska,Chevak,721,61.5278,-165.586,-611133.9135,1336611.141
US,Alaska,Marshall,318,61.8778,-162.081,-422615.4978,1348052.726
US,Alaska,Ohogamiut,0,61.5677,-161.864,-415417.7262,1312253.412
US,Alaska,Holy Cross,260,62.1994,-159.771,-299052.4372,1371272.305
US,Alaska,Shageluk,145,62.6822,-159.562,-283732.4885,1424136.131
US,Alaska,Anvik,83,62.6561,-160.207,-316817.233,1424146.315
US,Alaska,Flat,0,62.4536,-158.007,-206063.4538,1392910.404
US,Alaska,Aniak,578,61.5783,-159.522,-291948.2005,1300959.027
US,Alaska,Napamiute,3,61.54,-158.674,-247496.2463,1293243.992
US,Alaska,Crooked Creek,138,61.87,-158.111,-215441.9221,1328106.709
US,Alaska,Sleetmute,102,61.7025,-157.17,-167064.2132,1306692.538
US,Alaska,Stony River,42,61.7831,-156.588,-136057.7334,1314369.692
US,Alaska,Lime Village,47,61.3564,-155.436,-76538.64133,1264824.431
US,Alaska,Red Devil,49,61.7611,-157.313,-174267.694,1313605.688
US,Alaska,Unalakleet,803,63.873,-160.788,-332500.4979,1562305.158
US,Alaska,McGrath,456,62.9564,-155.596,-80766.28272,1443866.731
US,Alaska,Takotna,63,62.9886,-156.064,-104331.4004,1448116.329
US,Alaska,Ophir,0,63.1447,-156.519,-126659.5205,1466342.123
US,Alaska,Nikolai,108,63.0133,-154.375,-18941.9178,1449308.858
US,Alaska,Medfra,0,63.1067,-154.714,-35953.80176,1459886.522
US,Alaska,Clark's Point,66,58.8441,-158.551,-261637.1584,992017.8737
US,Alaska,Nondalton,221,59.9736,-154.846,-47063.60648,1109638.466
US,Alaska,Aleknagik,226,59.273,-158.618,-262151.4154,1040115.528
US,Alaska,Ekwok,124,59.3497,-157.475,-196886.55,1044725.119
US,Alaska,New Stuyahok,452,59.4528,-157.312,-187084.422,1055766.581
US,Alaska,Naknek,640,58.7283,-157.014,-173937.9511,974053.7932
US,Alaska,King Salmon,478,58.6883,-156.661,-153756.8923,968716.1568
US,Alaska,Koliganek,194,59.7286,-157.284,-183979.6782,1086490.198
US,Alaska,Igiugig,46,59.3278,-155.895,-107470.6428,1038657.642
US,Alaska,Iliamna,103,59.7536,-154.817,-45753.01354,1085017.47
US,Alaska,Port Alsworth,67,60.2025,-154.313,-17291.40045,1134978.956
US,Alaska,Newhalen,177,59.72,-154.897,-50283.72123,1081318.284
US,Alaska,Levelock,115,59.115,-156.857,-163024.1224,1016840.045
US,Alaska,South Naknek,149,58.7155,-156.998,-173079.7761,972582.7936
US,Alaska,Goodnews Bay,263,59.1186,-161.589,-432185.7898,1038455.884
US,Alaska,Platinum,41,59.013,-161.816,-446440.5523,1028231.489
US,Alaska,Togiak,762,59.0619,-160.376,-363946.8015,1024880.976
US,Alaska,Quinhagak,567,59.7489,-161.916,-442341.1669,1110604.645
US,Alaska,Eek,277,60.2189,-162.024,-442011.6968,1163507.633
US,Alaska,Twin Hills,59,59.0792,-160.275,-358016.4645,1026257.236
US,Alaska,Kwigillingok,333,59.8644,-163.134,-508230.7492,1132132.245
US,Alaska,Mekoryuk,192,60.388,-166.185,-665642.4397,1216922.427
US,Alaska,Tununak,330,60.5855,-165.256,-611674.156,1229735.146
US,Alaska,Toksook Bay,496,60.5303,-165.102,-604411.4117,1222238.513
US,Alaska,Nightmute,206,60.4794,-164.724,-584930.0973,1213237.469
US,Alaska,Newtok,269,60.9427,-164.629,-571534.7699,1263560.864
US,Alaska,Kipnuk,567,59.9389,-164.041,-557075.3834,1147651.989
US,Alaska,Umkumiute,0,60.4983,-165.199,-610243.0187,1219596.847
US,Alaska,Bethel,5277,60.7922,-161.756,-419845.3961,1225437.5
US,Alaska,Tuluksak,385,61.1025,-160.962,-373399.6425,1255189.504
US,Alaska,Napakiak,354,60.6967,-161.952,-431681.045,1216087.23
US,Alaska,Napaskiak,399,60.708,-161.766,-421483.0122,1216147.517
US,Alaska,Kwethluk,669,60.8122,-161.436,-402347.276,1225678.977
US,Alaska,Akiak,272,60.9122,-161.214,-389170.698,1235472.845
US,Alaska,Akiachak,481,60.9094,-161.431,-400863.9354,1236452.308
US,Alaska,Nunapitchuk,489,60.8969,-162.459,-456215.1148,1241697.828
US,Alaska,Kasigluk,514,60.8955,-162.521,-459560.6734,1241969.995
US,Alaska,Kodiak,6749,57.79,-152.407,94471.22624,866399.2138
US,Alaska,Akhiok,101,56.9455,-154.17,-10322.61534,770991.9578
US,Alaska,Port Lions,239,57.8675,-152.882,66159.71447,874479.4979
US,Alaska,Old Harbor,301,57.2028,-153.304,41966.62271,799917.6145
US,Alaska,Larsen Bay,120,57.54,-153.979,1255.554414,837346.23
US,Alaska,Afognak,0,58.0078,-152.768,72614.28525,890268.6058
US,Alaska,Woody Island,0,57.78,-152.355,97582.03492,865357.811
US,Alaska,Chignik,125,56.2953,-158.402,-271935.0375,707457.5199
US,Alaska,Egegik,127,58.2155,-157.376,-197723.9931,917826.535
US,Alaska,Pilot Point,79,57.5641,-157.579,-213521.4829,845792.1853
US,Alaska,Ugashik,5,57.513,-157.397,-202964.8615,839523.1379
US,Alaska,Sand Point,870,55.3397,-160.497,-411411.1352,612079.8933
US,Alaska,Squaw Harbor,0,55.2433,-160.553,-416003.4343,601744.3695
US,Alaska,Unga,0,55.1828,-160.506,-413688.2714,594746.1337
US,Alaska,Nikolski,43,52.938,-168.868,-994412.9016,436729.628
US,Alaska,Adak Station,4633,51.88,-176.658,-1537920.484,472626.2158
US,Alaska,Cold Bay,85,55.1858,-162.721,-553780.2226,611213.5104
US,Alaska,Dillingham,2252,59.0397,-158.457,-254774.9509,1013467.306
US,Alaska,Dry Creek,110,63.7,-144.567,464050.6955,1558989.423
US,Alaska,Gustavus,346,58.4125,-135.738,1050617.464,1080181.166
US,Alaska,Telida,5,63.3833,-153.267,36571.88987,1490801.581
US,Alaska,Whale Pass,79,56.1,-133.167,1273616.031,878084.2402
US,Alaska,Mendeltna,72,62.0406,-146.505,390056.6797,1362547.567
US,Alaska,Nelchina,0,62.0399,-146.547,387888.888,1362223.792
US,Alaska,Aleut Village,0,58.0171,-152.761,73007.4298,891315.0365
US,Alaska,Alexander,0,61.4171,-150.593,181183.2436,1275434.239
US,Alaska,Andreafsky,0,62.0501,-163.167,-476419.9236,1374509.622
US,Alaska,Annette,0,55.063,-131.541,1407679.21,801447.5266
US,Alaska,Auke Bay,0,58.383,-134.657,1112036.876,1094617.364
US,Alaska,Baranof,0,57.086,-134.838,1143141.62,952732.4904
US,Alaska,Bartlett Cove,0,58.45,-135.916,1039505.691,1081414.78
US,Alaska,Bell Island Hot Spri,0,55.933,-131.566,1374051.345,892360.5924
US,Alaska,Belmezok,0,65.6172,-168.101,-645740.1987,1808643.805
US,Alaska,Beluga,0,61.1791,-151.024,159471.8477,1247740.506
US,Alaska,Bessie No. 5 Dredge,0,64.5502,-165.151,-531968.7757,1665653.657
US,Alaska,Biorka,0,53.831,-166.208,-800612.8645,497889.7125
US,Alaska,Birchwood,0,61.4081,-149.481,240307.0638,1277958.237
US,Alaska,Bird,0,60.9311,-149.358,250563.3435,1225189.234
US,Alaska,Boswell Bay,0,60.4001,-146.133,431011.4278,1182596.666
US,Alaska,Cape Pole,0,55.965,-133.798,1240764.904,851801.3247
US,Alaska,Chakaktolik,0,61.7711,-163.625,-504565.9013,1347004.066
US,Alaska,Chakwaktolik,0,61.2291,-163.754,-520151.1032,1288026.119
US,Alaska,Chaniliut,0,63.0332,-163.417,-473794.7603,1485127.577
US,Alaska,Charlieskin Village,0,62.9672,-141.816,612972.9888,1500490.413
US,Alaska,Chatham,0,57.514,-134.924,1124616.14,997080.4547
US,Alaska,Chisana,0,62.0671,-142.049,619389.526,1399358.946
US,Alaska,Christian,0,67.3673,-145.2,379146.8228,1959495.642
US,Alaska,Clear,0,64.3332,-149.167,233207.6746,1605162.157
US,Alaska,Clover Pass,0,55.472,-131.791,1377651.754,839202.5135
US,Alaska,Cohoe,0,60.3671,-151.3,148382.1297,1156364.061
US,Alaska,College,0,64.8582,-147.808,293161.1796,1668919.656
US,Alaska,Dutch Harbor,0,53.891,-166.535,-820555.0231,508432.8452
US,Alaska,Eagle River,0,61.3221,-149.567,236382.2897,1268052.917
US,Alaska,Egavik,0,64.0332,-160.917,-336937.0586,1580747.684
US,Alaska,Egorkovskoi,0,53.564,-168,-922708.4526,492053.8312
US,Alaska,Elephant Point,0,66.2673,-161.333,-329683.1646,1830400.742
US,Alaska,Ellamar,0,60.8961,-146.708,393561.492,1234142.492
US,Alaska,English Bay,0,59.3581,-151.922,117742.4357,1042354.213
US,Alaska,Eska,0,61.7381,-148.906,267998.9962,1316969.116
US,Alaska,Excursion Inlet,0,58.417,-135.441,1067121.801,1085400.255
US,Alaska,Ferry,0,64.0172,-149.117,238207.2523,1570159.866
US,Alaska,Fish Village,0,62.5212,-163.847,-503728.6231,1431662.917
